Genome	Architecture
hs	57850,57845,_gap_,49899
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	81321,_gap_
hs	47266
hs	57850,_gap_
hs	_gap_,48726,_gap_
hs	46689,_gap_
hs	_gap_,57903,57903,47370
hs	53756
hs	56399,_gap_
hs	48371,56112
hs	_gap_,90123,52540
hs	55486,57552,_gap_
hs	_gap_,55194
hs	_gap_,48452
hs	_gap_,52283,51735,_gap_,52467
hs	_gap_,50324
hs	_gap_,81653,_gap_,81660,56784,81665,_gap_
hs	55874
hs	110004
hs	47986,52540,_gap_,52047
hs	50249,_gap_
hs	_gap_,160481,52540,52540,_gap_,47370,_gap_
hs	54236,47031,50729,_gap_
hs	90229,90229,_gap_
hs	48464,89009,_gap_
hs	52799
hs	_gap_,57716
hs	81324,81324
hs	_gap_,52058
hs	_gap_,57716,48508
hs	_gap_,48726
hs	_gap_,54695,_gap_,50965
hs	49503,49503,49503,49503,49503,49503,_gap_
hs	51905,54373,_gap_
hs	_gap_,57850
hs	_gap_,47459,_gap_
hs	53474
hs	_gap_,81321,_gap_
hs	49265,49265,_gap_
hs	50729,_gap_
hs	_gap_,54928,_gap_
hs	46689,_gap_
hs	57845,_gap_,49899
hs	47576,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296,81296
hs	_gap_,50249,_gap_
hs	55811
hs	54236
hs	103481
hs	81321
hs	48371,_gap_
hs	48726,48726,48726,_gap_
hs	_gap_,81321
hs	54495
hs	47986,52540,_gap_,52047,_gap_
hs	_gap_,48652,_gap_
hs	53187,47672
hs	_gap_,57667,57667,_gap_
hs	_gap_,57667,57667,57667,57667,_gap_
hs	81321
hs	_gap_,102712,_gap_
hs	_gap_,56112
hs	_gap_,49313,49313,49313,49313,49313,_gap_
hs	_gap_,49265
hs	_gap_,57667,57667,57667,57667,57667,57667
hs	_gap_,52025,53187,47672
hs	52129
hs	101912,103575,_gap_
hs	54928,_gap_
hs	_gap_,56645,47203,_gap_
hs	_gap_,52540,_gap_,52540,_gap_
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667
hs	52833,47616
hs	_gap_,54495
hs	_gap_,47473
hs	_gap_,53822,_gap_
hs	48264
hs	55811
hs	57501
hs	54076
hs	_gap_,54928,_gap_
hs	47473,_gap_,144091,_gap_
hs	57845,_gap_,49899
hs	_gap_,57535,57535,57535,57535,_gap_
hs	_gap_,56112,50729
hs	_gap_,52743,_gap_
hs	161065
hs	_gap_,52058,_gap_
hs	52799
hs	54236,47031,50729,_gap_
hs	57667,90229,_gap_
hs	_gap_,52058,_gap_
hs	_gap_,52025,53187,53187,47672
hs	54495
hs	_gap_,53448,50370
hs	_gap_,57716,57716,57716,57716,57716
hs	_gap_,55804,_gap_
hs	_gap_,47954,_gap_
hs	50729,50729,_gap_
hs	_gap_,46689,_gap_
hs	46689,_gap_,46689,_gap_
hs	52058,_gap_
hs	_gap_,48439
hs	111418,81321
hs	50353,_gap_
hs	_gap_,48371,48371,_gap_
hs	_gap_,57667,_gap_,57667,57667,57667,57667,57667,57667,_gap_
hs	48371,101447,_gap_
hs	50729,_gap_
hs	_gap_,56112
hs	_gap_,50978,_gap_,47370,47370,_gap_
hs	_gap_,111331
hs	_gap_,57959,_gap_
hs	81321,_gap_
hs	48726,_gap_
hs	_gap_,57959
hs	_gap_,47459,_gap_
hs	_gap_,48371,_gap_,111347
hs	88723
hs	50249,57756,_gap_
hs	_gap_,53822,_gap_
hs	48726,48726,48726
hs	_gap_,57535,_gap_
hs	48097,_gap_,48065,50729,_gap_
hs	46565,49493,49493
hs	50729,50729,_gap_
hs	_gap_,48065,50729,_gap_,50729
hs	_gap_,48371,_gap_
hs	_gap_,57630,57196,50494
hs	53686,54631
hs	52047
hs	_gap_,57667,57667,_gap_,57667
hs	_gap_,50044,52540,_gap_
hs	53474
hs	_gap_,57716,48508
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667
hs	82185,_gap_,82185,_gap_
hs	52025,57850,_gap_
hs	46785,_gap_
hs	_gap_,49562,49562,_gap_,49562,_gap_,49562,_gap_
hs	_gap_,50156,_gap_,47769,_gap_
hs	47576,_gap_
hs	47113,48371
hs	_gap_,57667,57667,_gap_,57667
hs	48201
hs	_gap_,46774,_gap_
hs	47986,_gap_,50156,_gap_,52540
hs	82185
hs	63748,_gap_,46774,_gap_,54160,_gap_
hs	50978,_gap_
hs	_gap_,56436
hs	52058,_gap_
hs	_gap_,54236,_gap_,48065,50729,_gap_
hs	_gap_,54928,54928,_gap_
hs	_gap_,64268
hs	82185
hs	56854
hs	51905,54373,_gap_
hs	160696,_gap_
hs	_gap_,57667,57667,57667,57667,57667,57667,_gap_
hs	53474
hs	_gap_,46966,_gap_,48726
hs	_gap_,48097
hs	47954,_gap_
hs	56436
hs	103473,_gap_
hs	118375
hs	51445,_gap_,49785
hs	54236,47031,50729,_gap_,48678
hs	_gap_,48403,47031,_gap_
hs	51735
hs	48403,_gap_
hs	48371,_gap_
hs	48726,_gap_
hs	_gap_,47095,_gap_
hs	_gap_,109604
hs	140856,_gap_,102712
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,63380,52343
hs	49468
hs	_gap_,57603,_gap_,52047
hs	63748,_gap_,63748,_gap_,63748,_gap_
hs	144091,_gap_
hs	_gap_,57667,57667,57667
hs	_gap_,48726,48726,48726,48726,48726,48726,_gap_,49265,49265,_gap_,49265,_gap_
hs	_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	102114,_gap_,55040
hs	_gap_,49313,_gap_,56112,_gap_
hs	_gap_,140383,_gap_
hs	54236,54236,54236,54236,54236,54236,54236,54236,54236
hs	81324,81324
hs	47473
hs	_gap_,47095,_gap_
hs	_gap_,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,53187
hs	103506
hs	101278,_gap_,69340
hs	48726,_gap_
hs	_gap_,55486,82895,_gap_,82895,82895,82895,_gap_,82895,82895,82895,82895,_gap_
hs	47576,_gap_,46966,_gap_,46966,46966,_gap_,46966,_gap_,75399,_gap_,75399,_gap_,75399,_gap_,75399,75399,75399,75399,_gap_
hs	81383,52047
hs	54495,_gap_
hs	_gap_,81383,52047,_gap_
hs	52540,_gap_
hs	_gap_,90250
hs	_gap_,52540,_gap_,50044
hs	_gap_,111126,_gap_,55073
hs	_gap_,51905,47576,_gap_,57716,57716,_gap_
hs	55945,48150
hs	52317
hs	47454,57959,_gap_
hs	54403
hs	52799
hs	101912,103575,48726,_gap_
hs	55394,55394
hs	_gap_,81296
hs	46785,54928,_gap_,54928
hs	54160,_gap_,55729,_gap_
hs	54368,55931
hs	54001
hs	48065,50729
hs	_gap_,81321,_gap_
hs	48726,48726,48726,_gap_
hs	48726,_gap_,52200,_gap_
hs	_gap_,47323
hs	_gap_,48726,_gap_
hs	57184,57184,57196,_gap_
hs	52833,47616
hs	_gap_,57667,57667,57667,57667
hs	50978
hs	_gap_,81296,_gap_
hs	_gap_,56112
hs	_gap_,81324,_gap_
hs	_gap_,81340,_gap_,54631,_gap_
hs	_gap_,49313,49313,_gap_,49313,49313,49313,49313,49313,49313,49313,49313,49313,49313
hs	_gap_,57716,57716,_gap_
hs	48726,48726,48726,48726,48726,_gap_
hs	57716,57716,57716,57716
hs	_gap_,56112
hs	111352
hs	_gap_,51412,51412
hs	53067,53067
hs	_gap_,56112,_gap_,57889,50729,_gap_
hs	_gap_,49562,49562,_gap_,49562,_gap_,49562,_gap_
hs	_gap_,109640,_gap_,57667,57667,57667,_gap_
hs	47576,_gap_
hs	50985,54695,_gap_
hs	_gap_,46689,_gap_
hs	57850,49899
hs	50104,_gap_
hs	81321
hs	_gap_,52047,52058
hs	50978
hs	50814
hs	_gap_,48371,_gap_,48371,48371,_gap_,56112,_gap_
hs	48726,48726,48726,48726,_gap_
hs	_gap_,50969
hs	_gap_,48403,_gap_,50044,50156,_gap_
hs	54236,48371,46934
hs	_gap_,57903
hs	52980,47781
hs	_gap_,52821
hs	49417,110217,81296
hs	_gap_,57924,_gap_
hs	_gap_,54001,_gap_
hs	53098
hs	_gap_,57196,57196,_gap_,57196,57184,57184,_gap_
hs	57997
hs	52540
hs	48726,48726,48726,48726,48726,_gap_
hs	54928
hs	47391,_gap_
hs	_gap_,54236,47031,50729,_gap_
hs	52799
hs	_gap_,53383
hs	63712,90112
hs	54495
hs	48726,48726,48726
hs	53474
hs	_gap_,47095,_gap_,47095,47095,47095,47095,_gap_
hs	_gap_,50978,_gap_
hs	46934,_gap_
hs	48726,_gap_
hs	109640,_gap_
hs	_gap_,47353,_gap_,57667,57667,57667
hs	_gap_,52833,47616
hs	54001
hs	56219
hs	47095,47095,_gap_
hs	50978,_gap_
hs	_gap_,56112,_gap_
hs	_gap_,49879
hs	69103
hs	_gap_,57959
hs	47454,57959,_gap_
hs	82895,_gap_,82895,82895,82895,82895,_gap_,57362,_gap_,48726,48726,48726,_gap_
hs	56059,52210,51735,48256
hs	_gap_,47353,_gap_,109640
hs	50729,_gap_
hs	_gap_,54928,_gap_
hs	_gap_,57903,_gap_,47370,_gap_,63748
hs	_gap_,47459
hs	54768,54768,54768,_gap_
hs	56112,_gap_
hs	48403,50044,_gap_,47769,47769,_gap_
hs	_gap_,56491,89811,_gap_,57362,109843,_gap_
hs	_gap_,109604
hs	_gap_,56436
hs	_gap_,82708,53098,54928,_gap_
hs	_gap_,50044,52540
hs	56491,89811,_gap_,109843,_gap_
hs	57850,101898
hs	117281
hs	109640,57667,_gap_,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,49313,49313,49313,49313,49313,_gap_
hs	109805,_gap_,50729,55550,_gap_
hs	_gap_,51556,_gap_
hs	_gap_,109604,_gap_
hs	50729,_gap_
hs	50729,_gap_
hs	101912,103575,_gap_
hs	55945,48150
hs	49313,_gap_
hs	_gap_,81324,_gap_
hs	56112
hs	_gap_,103481,_gap_
hs	_gap_,51045,_gap_,51045,51045,51045,56204
hs	_gap_,54928,_gap_
hs	_gap_,55729,_gap_
hs	_gap_,54826,_gap_,51604,_gap_
hs	81321
hs	_gap_,46785,144074,_gap_
hs	_gap_,46565,_gap_
hs	103506
hs	56235
hs	46785
hs	_gap_,57586,57586,_gap_
hs	_gap_,57716,48508
hs	_gap_,57667,57667,_gap_,57667
hs	_gap_,56112,_gap_,47769
hs	_gap_,57756,57756,57756
hs	54695,_gap_,47454,57959,_gap_
hs	_gap_,55785,_gap_,109604
hs	47473,_gap_
hs	49354,_gap_
hs	51069
hs	_gap_,48726,_gap_
hs	54001
hs	48452
hs	49899,49899
hs	_gap_,57850,_gap_
hs	52540,_gap_,50729,_gap_
hs	_gap_,57716,57716,_gap_
hs	52540
hs	_gap_,50939,_gap_,50939,_gap_,50939,_gap_,50939,_gap_
hs	81324,81296,_gap_
hs	52540
hs	49313,49313,49313,_gap_
hs	55008,_gap_,55008,55008,55008,_gap_,55008,55008,_gap_,81653,_gap_,81660,56784,81665
hs	101288,_gap_,50156,50156,_gap_,50156,50044,52540
hs	_gap_,53335,_gap_
hs	_gap_,53822,_gap_
hs	_gap_,50729,52799,_gap_
hs	48403,_gap_
hs	_gap_,53784,53784
hs	53720,_gap_
hs	_gap_,63501,_gap_
hs	48452,_gap_,90229,_gap_,57667,90229,_gap_
hs	109640,_gap_
hs	49854,57535,49854,_gap_,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,49854,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,57535,_gap_
hs	47986,47986,52129
hs	50044,_gap_,51045,_gap_,51045,_gap_,50729,48350
hs	_gap_,47353,_gap_,109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,158553,_gap_,144232,_gap_
hs	_gap_,50044,_gap_,49265,49265,_gap_,50044,_gap_,50044
hs	54452,48726,_gap_
hs	48726,48726,_gap_
hs	52540
hs	52058,_gap_
hs	51445,_gap_
hs	52821,52799
hs	_gap_,52091,_gap_
hs	_gap_,161256,_gap_
hs	_gap_,52777,52777
hs	53383
hs	57424,52058,81321,_gap_
hs	50156,_gap_,50156,_gap_,50156,50044,52540,_gap_
hs	_gap_,50729
hs	140741,_gap_,57903
hs	54277
hs	48726,48726,48726
hs	57667,57667,_gap_
hs	_gap_,48403,_gap_
hs	48403
hs	110296,_gap_,49299,49299,_gap_
hs	_gap_,55846
hs	52540
hs	_gap_,50044
hs	52058,57184,52058,57184,_gap_
hs	54826,51604
hs	52058,48726,49265,_gap_
hs	50729,47473,_gap_,51695,49562,_gap_
hs	_gap_,56112,_gap_
hs	_gap_,50447,_gap_
hs	57829
hs	52080
hs	56053,56053
hs	50104,_gap_
hs	47874
hs	116820,_gap_
hs	_gap_,55129
hs	63748,_gap_,63748,_gap_,63748,_gap_,63748,_gap_,63748,_gap_,63748,_gap_,63748,_gap_
hs	52313,_gap_
hs	51445
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,52833
hs	_gap_,63748,_gap_,57903,_gap_,57903,63748,82199,57903,_gap_
hs	_gap_,52540,52540,54928,_gap_
hs	52087,46966,46966,_gap_,46966,46966,_gap_,46966,_gap_,46966,_gap_,48065,50729,50044,_gap_,48065,50729,_gap_,50044,_gap_,49265,56112
hs	50729,_gap_
hs	56491,89811,_gap_,109843,_gap_
hs	51092
hs	109640,_gap_,57667,57667,57667,57667,57667
hs	47923,47923,_gap_
hs	_gap_,56112,103243
hs	50156,52540,51045,51045,50156,_gap_,50156,_gap_,50156,50156,_gap_,50156,_gap_
hs	52540,53271
hs	56436
hs	52799
hs	_gap_,57414,57440
hs	_gap_,56112,_gap_
hs	52540,_gap_
hs	50249,_gap_,52540,_gap_
hs	_gap_,52402
hs	_gap_,54171,82199,_gap_
hs	57850,57845,_gap_
hs	64268,50044,50044,_gap_
hs	_gap_,90123,52540
hs	52540,47473,52540
hs	_gap_,52540,52540
hs	_gap_,51412,51412
hs	56801,_gap_
hs	52151
hs	_gap_,52540,52540,_gap_
hs	48726,_gap_
hs	52317
hs	_gap_,81383,49785
hs	_gap_,51690
hs	52540
hs	48371,_gap_,49348,55711
hs	_gap_,55394
hs	81606
hs	_gap_,49562,49562
hs	_gap_,64593,64593,_gap_,64593,_gap_
hs	_gap_,52540,_gap_
hs	_gap_,56059
hs	_gap_,52047
hs	51395,_gap_
hs	_gap_,46689,_gap_,57667,_gap_
hs	47473
hs	161070
hs	55550,50044,50044
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,_gap_
hs	81324,51735,_gap_
hs	_gap_,52091,_gap_
hs	_gap_,47895,52540
hs	_gap_,48452,_gap_
hs	57716,48508,_gap_
hs	57850,49899
hs	_gap_,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,48403
hs	_gap_,48150,55811
hs	48726,_gap_,48726,_gap_,48726,48726,48726,_gap_
hs	_gap_,47459,55785,_gap_,55785,88633
hs	_gap_,56436
hs	51045,_gap_,50729,50729,_gap_
hs	47954,_gap_
hs	55455,_gap_
hs	47986,_gap_,52540,_gap_,52047,_gap_,47986
hs	_gap_,57424,57424,57424,57424,57196,57196,63825,57196,_gap_
hs	52540,_gap_
hs	52540,_gap_
hs	52047,52047
hs	117856
hs	52058,_gap_
hs	50978
hs	_gap_,57716,57716,_gap_
hs	_gap_,49417,81296,_gap_
hs	_gap_,49417,47719,_gap_
hs	48452
hs	_gap_,69572
hs	_gap_,47459,_gap_
hs	_gap_,48371,48371,_gap_
hs	56854
hs	_gap_,50978
hs	_gap_,82895,_gap_,82895,82895,82895,82895,82895,82895,_gap_
hs	_gap_,46785
hs	56112,_gap_
hs	54277,56112
hs	51366
hs	_gap_,57501
hs	47113,_gap_
hs	_gap_,48097,_gap_,48065,50729,_gap_
hs	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324,_gap_
hs	_gap_,100895,57610,_gap_,57610,47473
hs	54001,49758,47473
hs	_gap_,48452
hs	47874,47874
hs	81321,_gap_
hs	_gap_,48371,48371,_gap_
hs	81321
hs	47391,52540,52540
hs	_gap_,47459
hs	57863,48403,_gap_
hs	_gap_,82109,82109,100909,_gap_,100909,48371,_gap_
hs	52313,_gap_
hs	52799
hs	47576,_gap_,46966,_gap_,46966,46966,46966,_gap_,46966,_gap_,75399,_gap_,75399,_gap_,75399,_gap_,75399,75399,75399,75399,_gap_
hs	54695,_gap_,57667,57667
hs	48264
hs	81321
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,49417,47719,_gap_,47769,_gap_
hs	_gap_,81321,_gap_
hs	51197
hs	_gap_,47459,_gap_
hs	110019
hs	55797
hs	53067,53067,53067,53067
hs	_gap_,116846,_gap_,56112
hs	56436
hs	53335
hs	63748,50199,_gap_,56112
hs	_gap_,56112,_gap_
hs	_gap_,50044,55550,56112
hs	56801,_gap_
hs	57716,57716,57716
hs	_gap_,57903,_gap_
hs	_gap_,54928,54928,_gap_
hs	48726,48726,_gap_
hs	46966,_gap_,46966,_gap_,46966,46966,_gap_
hs	_gap_,52113,_gap_
hs	54928,_gap_,54928,_gap_
hs	109640,_gap_,57667,57667
hs	103657,50729,57863,_gap_,48403
hs	56112
hs	52540
hs	_gap_,47459,158457,_gap_
hs	50199,50199,50199,50199,63748,50199
hs	53756
hs	101912,103575,_gap_
hs	_gap_,48452,48452,_gap_,57850
hs	48452,48452,_gap_
hs	49313,49313,49313,49313,49313,49313,_gap_
hs	_gap_,57959
hs	_gap_,49695,_gap_
hs	53474,_gap_
hs	57667,57667,_gap_,57667,_gap_
hs	_gap_,103473,_gap_
hs	53720
hs	_gap_,57603,57603,57603,57603,57603,57603,57440,57440,57603,57603,57603,49265,_gap_,49265,_gap_,49265,49265,49265,49265,_gap_,49265,_gap_,49265,49265,49265,_gap_,49265,57603,57603,57603,_gap_
hs	_gap_,81321,_gap_
hs	48726,48726,_gap_,48726,48726,48726,_gap_,48726,48726,49265,56112,48726
hs	56655
hs	54189
hs	51735,_gap_
hs	_gap_,46689,_gap_
hs	54236,_gap_,47769,_gap_,46785,_gap_
hs	_gap_,48264
hs	_gap_,63411,63411,63411,63411
hs	_gap_,49785,_gap_,49265,_gap_,56112,47769
hs	51905,51905,_gap_
hs	57535,57535,57535,57535,_gap_
hs	57850,57845,_gap_,57850,57845,_gap_,49899
hs	52540
hs	52540
hs	_gap_,55729,_gap_
hs	_gap_,48097,_gap_,54236
hs	_gap_,52540,_gap_
hs	52540
hs	55486
hs	_gap_,53474
hs	103506
hs	_gap_,49265,_gap_,49899,49899,49899
hs	54928,54928,_gap_
hs	_gap_,48726,_gap_
hs	48452,_gap_,88723
hs	_gap_,55785,_gap_
hs	_gap_,51045,_gap_
hs	_gap_,56487
hs	54160,82199
hs	81321
hs	_gap_,46689,_gap_
hs	55394
hs	51905,55424
hs	_gap_,56104
hs	_gap_,52058
hs	_gap_,69572
hs	109640,_gap_,57667,57667,57667,57667,57667,_gap_
hs	47576,_gap_,46966,_gap_,46966,46966,_gap_,46966,_gap_,75399,_gap_,75399,_gap_,75399,_gap_,75399,75399,75399,75399,_gap_
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,55781,55781,109604
hs	49265,49265,_gap_,49265,_gap_
hs	_gap_,47473
hs	_gap_,52540,49879,_gap_,64268
hs	_gap_,56496
hs	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324,_gap_
hs	_gap_,52540,52540
hs	_gap_,53448,_gap_
hs	140984
hs	101912,103575,_gap_
hs	47113
hs	63712,90112
hs	56854
hs	_gap_,48065,50729,_gap_
hs	_gap_,56436
hs	46565
hs	_gap_,49854,117281,117281,_gap_,56436,_gap_,57196,_gap_
hs	47113
hs	50729,_gap_
hs	81624,46946,57716,_gap_
hs	81995,_gap_,48371,_gap_,48371
hs	54695,_gap_
hs	_gap_,46689,_gap_
hs	54695,50965,50965
hs	50978
hs	81321
hs	_gap_,103657,_gap_,48350,50044,_gap_
hs	109640,_gap_,57667,57667,57667,57667,57667,57667
hs	_gap_,52047
hs	_gap_,53474
hs	_gap_,52540,52540,46785,47819,_gap_
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667
hs	57716,57716,57716,57716,57716,57716,_gap_
hs	47473,_gap_,47473,_gap_,50044,50044,50044,50044,50044,48065,50729,49562
hs	_gap_,81324,_gap_,81324,_gap_,81324,_gap_,81324
hs	109640,_gap_
hs	103575,_gap_,53300,69179,_gap_,57196,57196,69687,_gap_
hs	_gap_,50978
hs	_gap_,56112,_gap_
hs	48403,_gap_
hs	116846,_gap_
hs	51316
hs	_gap_,57903,57903,57903,_gap_,57903,57903,57903,_gap_,47095,_gap_,82199
hs	_gap_,81324,_gap_
hs	50978,_gap_
hs	109640,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	88697
hs	88798,50249
hs	46785,_gap_
hs	48371
hs	48726,48726,48726,49265,49265,_gap_,49265,_gap_,52799,52799
hs	_gap_,47923,47923,_gap_,47473,_gap_
hs	103473,_gap_,144292
hs	_gap_,54928,54928,54928,_gap_
hs	_gap_,46689,_gap_
hs	52058,48726,48726,_gap_,56112
hs	55315
hs	_gap_,82215,_gap_
hs	64356,49447
hs	_gap_,55486,_gap_
hs	48371,_gap_
hs	81321
hs	_gap_,57586,57586,_gap_
hs	_gap_,56112,_gap_
hs	81321
hs	_gap_,56487
hs	_gap_,52540
hs	_gap_,47986,_gap_
hs	_gap_,53822,_gap_
hs	_gap_,63748,_gap_,63748,_gap_,63748,_gap_
hs	_gap_,46565,57938,_gap_,49493
hs	51412
hs	_gap_,52058,_gap_,48726,_gap_
hs	_gap_,50044,_gap_
hs	52540,_gap_,50729,_gap_
hs	_gap_,81296,_gap_
hs	57863,48403,_gap_
hs	47072
hs	_gap_,82895,_gap_,82895,82895,82895,82895,82895,82895,_gap_
hs	82185,82185
hs	47060,52374
hs	_gap_,57903,_gap_,57845
hs	_gap_,50729
hs	_gap_,52540,_gap_,90257,90257,_gap_,90257,_gap_,90257,_gap_,90257,_gap_
hs	48726,_gap_
hs	_gap_,46689,_gap_
hs	57756,_gap_
hs	_gap_,49562,49562
hs	_gap_,55116,55116,101262
hs	48726,48726,48726,48726,_gap_,49265,_gap_,49265,_gap_
hs	_gap_,57850
hs	63712,90112
hs	57184,57196,57535,57535,_gap_
hs	_gap_,111331,_gap_
hs	_gap_,103473
hs	_gap_,110035,_gap_
hs	_gap_,57196,57184,_gap_
hs	63748,_gap_,46774,_gap_,54160,_gap_
hs	_gap_,49265,49265,_gap_
hs	103473
hs	81321,_gap_
hs	_gap_,57997,_gap_
hs	_gap_,49764,_gap_
hs	47095,_gap_
hs	_gap_,57667,57667,_gap_,57667,_gap_,57667,57667,_gap_
hs	48097,56112,_gap_
hs	49417,110217,81296
hs	48371
hs	_gap_,49899,_gap_,56436
hs	82109,82109,100909,49899,_gap_,49899,_gap_,100909,_gap_,47473,_gap_
hs	52833
hs	50729,_gap_
hs	_gap_,57716,57716,_gap_,46689,_gap_
hs	_gap_,48150,55811
hs	_gap_,109604,_gap_
hs	_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	_gap_,50156,_gap_
hs	46785,_gap_,48670,48097
hs	103657,50729,48350,_gap_
hs	_gap_,49562
hs	48726,48726,_gap_
hs	_gap_,57667,57903,57903
hs	_gap_,48371,_gap_
hs	103473,_gap_
hs	_gap_,57667,_gap_,57667,57667,_gap_,57667,_gap_,57667,_gap_
hs	48371,_gap_,48371,_gap_,48371,_gap_,56112,_gap_
hs	52540
hs	_gap_,50156,50156,50156,50156
hs	63712,90112
hs	109640,_gap_,57667,57667,57667,57667,57667,57667
hs	_gap_,56112
hs	56112,_gap_
hs	50156,_gap_
hs	_gap_,52091,_gap_
hs	48452,48452
hs	_gap_,56219,54928,_gap_
hs	57850,57845
hs	81423
hs	48403,_gap_
hs	64593,_gap_
hs	55874,_gap_
hs	_gap_,64593,_gap_,64593,_gap_
hs	81383,52047
hs	54495
hs	49562,_gap_,144270
hs	_gap_,68906,_gap_
hs	_gap_,81321,_gap_
hs	_gap_,47353,_gap_
hs	_gap_,50044,50044,50044
hs	_gap_,81324,_gap_
hs	_gap_,57997,_gap_
hs	_gap_,54928,_gap_
hs	57924,57924,57924,_gap_
hs	_gap_,57667,57667,57667,57667,57667,57667
hs	50129,51735
hs	51045,51045,50729,_gap_
hs	_gap_,48452,48452,_gap_,57850
hs	52540,_gap_,50729,_gap_
hs	54171,_gap_
hs	_gap_,56808,_gap_
hs	50044,53335
hs	103657,_gap_,50044
hs	_gap_,50978
hs	109640,_gap_,57667,57667,57667,57667,57667,57667,57667,57667,57667
hs	48452,48452,48452
hs	_gap_,56436
hs	55486,82895,_gap_,82895,_gap_,82895,82895,82895,49854,49854
hs	_gap_,46934
hs	_gap_,47923,47923
hs	57414
hs	_gap_,49313,_gap_,56112,_gap_
hs	_gap_,57586,57586,_gap_
hs	_gap_,47095
hs	_gap_,52025,53187,47672
hs	109779,_gap_
hs	81321
hs	_gap_,54189
hs	_gap_,53639,_gap_
hs	88723,_gap_,47807,_gap_
hs	_gap_,57586,57586,_gap_,47986
hs	_gap_,64268
hs	54236,_gap_,46934
hs	48452,_gap_,90229,57667,90229,_gap_
hs	_gap_,48452,48452,_gap_
hs	_gap_,50044,48065,50729,_gap_
hs	_gap_,57667,57667,57667,57667,_gap_
hs	_gap_,103473
hs	55874,54211,_gap_,118116,_gap_
hs	48403,_gap_
hs	54768,54768,54768,54768,_gap_
hs	81321
hs	52058
hs	54495
hs	_gap_,49265
hs	_gap_,52518
hs	56399,_gap_
hs	56574
hs	_gap_,47459,_gap_
hs	48350,_gap_
hs	_gap_,56436
hs	_gap_,159034,57850,159034,_gap_,48403,_gap_,57850
hs	48371,_gap_,101447
hs	_gap_,52540,52540,_gap_
hs	_gap_,54928,54928,_gap_
hs	_gap_,48371
hs	50156,_gap_,57716,57716,57716,57716
hs	_gap_,53639,_gap_
hs	53474
hs	_gap_,54791,_gap_
hs	54791,54791,54791,_gap_
hs	48371
hs	47027
hs	51045,51045,51735
hs	_gap_,55753,55753,_gap_,55753,55753,55753,47050
hs	50998
hs	_gap_,63748,50199,_gap_,56112
hs	_gap_,57667,57667,_gap_,57667,_gap_
hs	47473,_gap_,47576,_gap_
hs	_gap_,46785,_gap_
hs	_gap_,53474,_gap_
hs	57535,57535,50494
hs	_gap_,81333
hs	_gap_,103506
hs	64268,50044,50044,_gap_,50044,_gap_,50044,_gap_,50044
hs	57850,57845,_gap_,49899
hs	_gap_,52317,_gap_
hs	103473
hs	_gap_,55486,57552,_gap_
hs	_gap_,47661,_gap_
hs	48097,56112
hs	53383
hs	_gap_,90229,63748,_gap_
hs	_gap_,57903,47370,63748,_gap_,144232,_gap_
hs	_gap_,53822,_gap_
hs	_gap_,46689,_gap_
hs	81321,_gap_
hs	_gap_,47031,_gap_
hs	_gap_,52540
hs	_gap_,47095,_gap_
hs	101912,103575
hs	_gap_,56112,_gap_
hs	_gap_,51045,51045,51045,51045,56204
hs	_gap_,57603,57603,57603,57603,57603,57603,57440,57440,57603,57603,57603,49265,_gap_,49265,_gap_,49265,49265,49265,_gap_,49265,_gap_,49265,_gap_,49265,_gap_,49265,57603,57603,57603,_gap_
hs	_gap_,50978,_gap_
hs	_gap_,46689
hs	57850,57845,_gap_
hs	160696,_gap_
hs	48726,48726,48726,_gap_
hs	55486,48726
hs	_gap_,52540,_gap_,47473,_gap_
hs	54928,54928,_gap_,54928,_gap_
